param,model,JS_distance,JS_divergence,null_mean,null_std,z_score,p_value
k_diff_initial,"('constant', 'constant')",0.5716118949535091,0.3267401584523415,0.0247596136573689,0.0066671453534779,82.19463892060737,9.999000099990002e-05
k_diff_initial,"('constant', 'varying')",0.5340714950807153,0.2852323618577504,0.0238703208249244,0.0060620684037654,84.38600367797717,9.999000099990002e-05
k_diff_initial,"('varying', 'constant')",0.1752358137889815,0.0307075904342866,0.0229619984728628,0.0061620764775503,24.84116771137281,9.999000099990002e-05
k_diff_initial,"('varying', 'varying')",0.1570012509803028,0.02464939280938,0.0221969279583465,0.0059241209078505,23.16682210642545,9.999000099990002e-05
k_diff_gradient,"('varying', 'constant')",0.0816961856132795,0.0066742667437594,0.025049137163948,0.0060775960245028,9.31771639115909,9.999000099990002e-05
k_diff_gradient,"('varying', 'varying')",0.1205270814438121,0.0145267773613633,0.0240234120451653,0.0058719462855576,16.51357079100632,9.999000099990002e-05
rho_n_initial,"('constant', 'constant')",0.346697801785689,0.1201993657630289,0.0309394390830813,0.006859866023538,46.03029942905305,9.999000099990002e-05
rho_n_initial,"('constant', 'varying')",0.3509608583016746,0.1231735240598481,0.0250983037135373,0.0062376047730646,52.37375803854893,9.999000099990002e-05
rho_n_initial,"('varying', 'constant')",0.3758261659051132,0.1412453069789377,0.0283354729733184,0.0061822663569254,56.20887873730006,9.999000099990002e-05
rho_n_initial,"('varying', 'varying')",0.3813162203768653,0.1454020599224981,0.0237094881250947,0.0058799735235042,60.97528325784871,9.999000099990002e-05
rho_n_gradient,"('constant', 'varying')",0.2647407102289204,0.0700876436525131,0.0257191487510718,0.0062128410334022,38.48979963955289,9.999000099990002e-05
rho_n_gradient,"('varying', 'varying')",0.2690382276122444,0.0723815679167378,0.0251278673994822,0.0058893783739919,41.4640787240206,9.999000099990002e-05
rho_g_initial,"('constant', 'constant')",0.5764898560742078,0.3323405541564608,0.0267046487098255,0.0066110176189855,83.16301757063498,9.999000099990002e-05
rho_g_initial,"('constant', 'varying')",0.2442338358840523,0.0596501665906382,0.0263667829641909,0.0061918303361077,35.446666777478136,9.999000099990002e-05
rho_g_initial,"('varying', 'constant')",0.5808620090612792,0.3374006735707056,0.025196069559962,0.0060775704198404,91.43244343691136,9.999000099990002e-05
rho_g_initial,"('varying', 'varying')",0.2187358932597824,0.0478453910001549,0.0253710780538911,0.0058832231469439,33.025580371461096,9.999000099990002e-05
rho_g_gradient,"('constant', 'varying')",0.2483593024724721,0.0616823431246129,0.0272070684673363,0.0062464915456177,35.422636130497594,9.999000099990002e-05
rho_g_gradient,"('varying', 'varying')",0.2614503330386399,0.0683562766460157,0.026137309602316,0.0058310916436139,40.40085420719163,9.999000099990002e-05
alpha,"('constant', 'constant')",0.2014210667214074,0.0405704461191896,0.0260696929199356,0.0066208506053528,26.398220672554896,9.999000099990002e-05
alpha,"('constant', 'varying')",0.1828936338575733,0.033450081305628,0.0255246067575272,0.0062539450850899,25.100604580891183,9.999000099990002e-05
alpha,"('varying', 'constant')",0.1744033761369683,0.0304165376079728,0.0241284701329578,0.0061331141335743,24.387084312224797,9.999000099990002e-05
alpha,"('varying', 'varying')",0.1790147400029313,0.0320462771383171,0.0240318137404048,0.0058010546493613,26.583971611825078,9.999000099990002e-05
mu,"('constant', 'constant')",0.1461131811375007,0.0213490617021201,0.02427828806989,0.0066119002481989,18.666151526572843,9.999000099990002e-05
mu,"('constant', 'varying')",0.1610933126886237,0.0259510553929947,0.0230205124883229,0.0061300420279346,22.706991749702876,9.999000099990002e-05
mu,"('varying', 'constant')",0.1606568936655704,0.0258106374822703,0.0226840950606331,0.0061311173771259,22.727597644597594,9.999000099990002e-05
mu,"('varying', 'varying')",0.1721263077968351,0.0296274658357708,0.0219042686605823,0.0058356649100131,25.886509422647286,9.999000099990002e-05
