condition,parameter_1,parameter_2,model,JS_distance,JS_divergence,null_mean,null_std,z_score,p_value
dmso,rho_n_initial,rho_g_initial,"('constant', 'constant')",0.5577048491432999,0.3110346987579508,0.0275491977173908,0.0071388897971279,74.26281091621229,9.999000099990002e-05
dmso,rho_n_initial,rho_g_initial,"('constant', 'varying')",0.4648398626732214,0.2160760979300593,0.0240698917894222,0.0062745976618364,70.4092146810953,9.999000099990002e-05
dmso,rho_n_initial,rho_g_initial,"('varying', 'constant')",0.5177889229550334,0.2681053687349335,0.0259058767639083,0.0062801499772761,78.32365755712439,9.999000099990002e-05
dmso,rho_n_initial,rho_g_initial,"('varying', 'varying')",0.4294899735497243,0.1844616373797429,0.0227555773359628,0.0055753639540162,73.10646050144415,9.999000099990002e-05
dmso,rho_n_gradient,rho_g_gradient,"('constant', 'varying')",0.2418486343675574,0.0584907619454524,0.0277283923221934,0.0061300854623398,34.95011691575328,9.999000099990002e-05
dmso,rho_n_gradient,rho_g_gradient,"('varying', 'varying')",0.2245873389465801,0.050439472815106,0.025711638190356,0.0055341847069652,35.95367489531864,9.999000099990002e-05
dapt,rho_n_initial,rho_g_initial,"('constant', 'constant')",0.5251467611108719,0.2757791207052391,0.0257420705031778,0.006199874827901,80.55075918778535,9.999000099990002e-05
dapt,rho_n_initial,rho_g_initial,"('constant', 'varying')",0.6222876724667578,0.3872419473040948,0.024114434680178,0.0063082740348889,94.93955167496551,9.999000099990002e-05
dapt,rho_n_initial,rho_g_initial,"('varying', 'constant')",0.5013107036569723,0.2513124216010486,0.0261278118011713,0.0060887878315277,78.04226666053317,9.999000099990002e-05
dapt,rho_n_initial,rho_g_initial,"('varying', 'varying')",0.6084134188810143,0.3701668882744846,0.0236050061674977,0.0061906358764269,94.62015315216006,9.999000099990002e-05
dapt,rho_n_gradient,rho_g_gradient,"('constant', 'varying')",0.4931928314213651,0.2432391689654231,0.0240515726686516,0.0062112140854393,75.55768690480693,9.999000099990002e-05
dapt,rho_n_gradient,rho_g_gradient,"('varying', 'varying')",0.4900066736583234,0.2401065402296946,0.0238424963419712,0.0061512782065781,75.83044699444339,9.999000099990002e-05
